club_id,name
22219,Narrandera Golf Club
22221,Rosewood Golf Club
22222,The Rock Golf Club
22223,Tumbarumba Golf Club
22225,Wagga Wagga Country Club
22226,Wagga City Golf Club
22227,Walwa Golf Club
22228,Welaregang Country Golf Club
22301,Ariah Park Golf Club
22302,Binalong Golf Club Ltd
22303,Boorowa Golf Club
22304,Cootamundra Country Club
22305,Gundagai Services Golf Club
22306,Harden Country Club
22309,Temora Golf Club
22310,Tumut Golf Club
22311,West Wyalong S and C Sports Club
22312,Young Golf Club
22314,Clover Leigh Golf Club
22315,Talbingo Golf Club
22401,Albert Golf Club
22402,Baradine Golf Club
22403,Binnaway Golf Club
22404,Darling River Golf Club
22405,Brewarrina District Golf Club
22407,Cobar Bowling and Golf Club
22408,Coolah Sporting Club
22409,Coonabarabran Golf Club
22410,Coonamble Golf Club
22411,Dubbo Golf Club
22412,Dunedoo Golf Club
22413,Gilgandra Golf Club
22417,Mendooran Golf Club
22418,Narromine Golf Club
22419,Nyngan Golf Club
22421,Tottenham Golf Club
22422,Trangie Golf Club
22423,Walgett District Sporting Club
22424,Wanaaring Golf Club
22425,Warren Golf Club
22426,White Sands Golf Club
22501,Berrigan Golf and Bowling Club
22502,Coleambally Golf Club
22504,Deniliquin Golf Club
22505,Finley Golf Club
22506,Goolgowi Golf Club
22507,Griffith Golf Club
22508,Hay Bowling and Golf Club
22509,Jerilderie Golf Club and Sports Club
22510,Lachlan River Sporting Club (Hillston)
22512,Oaklands Golf Club
22513,Yenda Golf Club
22514,Tooleybuc Sporting Golf Club
23801,Qantas Golf Club
24001,Chinese Golf Association Australia - SC
24002,SOGO Golf NSW -SC
24003,NSW Chemists Golf Club - SC
24004,The Golf Project - SC
24005,Piranha Golf Club - SC
24006,NSW Maccabi Golf Club - SC
24007,NSW Taxi Golf Association Inc. -SC
24008,Milperra Golf P/L - SC
24009,Serbian Australian Golf ACT Inc - SC
24010,Take a stroke for stroke - SC
24011,Golf Buddies - SC
24012,Chinese Golf Association - SC
24013,Kiwi Golf Club Sydney - SC
24014,Sydney Kiwi Golf Club Inc - SC
24015,Nomads Golf Club (Syd Nth) - SC
24016,Nomads Golf Club (Syd Sth) - SC
24017,Otter's Pocket Golf Club - SC
25000,NSW Golf League
25004,Warringah Golf Club - GAA
25005,Warringah Golf Club - GAA (No 2)
25101,Bingara Gorge Golf Course
25102,Capital Public Golf Course
25104,The Ridge Golf Course
25105,The Moorings Golf Club
25106,North Turramurra Public Golf Club
25109,Viney Creek Golf Club
30101,Ranfurlie Golf Club
30102,Box Hill Golf Club
30103,Cheltenham Golf Club
30104,Gardiners Run Golf Club
30105,Churchill Park Golf Club
30106,Commonwealth Golf Club
30107,Cranbourne Golf Club
30108,Yering Meadows Golf Club
30109,Eastern Golf Club
30110,Eastwood Golf Club
30112,Gisborne Golf Club
30113,Goonawarra Golf Club
30114,Green Acres Golf Club
30115,Heidelberg Golf Club
30116,Huntingdale Golf Club
30117,Kew Golf Club
30118,Keysborough Golf Club
30119,Kingston Heath Golf Club
30120,Kingswood Golf Club
30121,Kooringal Golf Club
30122,Latrobe Golf Club
30123,The National GC - Long Island
30124,Medway Golf Club
30125,The Metropolitan Golf Club
30126,Northern Golf Club
30127,Patterson River Golf Club
30128,Peninsula-Kingswood Country Golf Club
30129,Riversdale Golf Club
30130,Rosanna Golf Club
30131,Rossdale Golf Club
30132,Royal Melbourne Golf Club
30133,Southern Golf Club
30134,Spring Valley Golf Club
30135,Mt Derrimut Golf Club
30136,Melbourne Airport Golf Club
30137,Victoria Golf Club
30138,Churchill-Waverley GC (Waverley Site)
30139,Werribee Park Golf Club
30140,Whittlesea Golf Club
30141,Woodlands Golf Club
30142,Yarra Yarra Golf Club
30143,Sanctuary Lakes Golf Club
30144,Heritage Golf and Country Club
30145,Sandhurst Club
30146,Settlers Run Golf and Country Club
30201,Altona Lakes Golf Club
30202,Australasian Golf Club
30203,Brighton Golf Club
30204,Camberwell Golf Club
30205,Centenary Park Golf Club
30206,Creekside Golf Club
30207,East Malvern Golf Club
30208,Elsternwick Park Golf Club
30209,Forest Hills Golf Club
30210,Glen Waverley Golf Club
30211,Kings Park Golf Club
30212,Lakeside Golf Club - Melb
30215,Mt Martha Golf Club
30216,Nepean Golf Club
30217,Northcote Golf Club
30218,Oakleigh Golf Club
30219,Olinda Golf Club
30220,Ringwood Golf
30221,Riverside Golf Club - Essendon
30222,Riverview Golf Club
30223,Royal Park Golf Club
30224,Sandringham Golf Club
30225,Tirhatuan Golf Club Inc
30226,Wattle Park Golf Club
30227,Westgate Golf Club
30229,Yarra Valley Country Club
30230,Craigieburn Willmott Golf Club
30231,Dorset Golf
30232,Yarra View Golf Club
30233,Growling Frog Golf Club
30234,Yarrambat Golf Club
30235,Waterford Valley Golf Club
30236,Kingston Links Golf Club
30237,Burnley Golf Club
30238,Harp Golf Club
30239,Scotchman's Creek Golf Club
30240,Morack Senior's Golf Club
