golf_australia_url,golf_australia_name,golf_australia_course_info,course_id,holes
https://www.golf.org.au/bellarine-lakes-resort-golf-club/,Bellarine Lakes Country Club (VIC),"Golf Course ID: 31017,  0 hole",31017,0
https://www.golf.org.au/bell-and-district-golf-club/,Bell and District Golf Club,"Golf Course ID: 40501,  18 hole",40501,18
https://www.golf.org.au/belair-park-golf-club/,Belair Park Golf Club,"Golf Course ID: 50301,  18 hole",50301,18
https://www.golf.org.au/bellata-golf-club/,Bellata Golf Club,"Golf Course ID: 21901,  9 hole",21901,9
https://www.golf.org.au/bega-country-club/,Bega Country Club,"Golf Course ID: 21001,  18 hole",21001,18
https://www.golf.org.au/beechworth-golf-club/,Beechworth Golf Club,"Golf Course ID: 31403,  18 hole",31403,18
https://www.golf.org.au/beau-vista-par-3-golf-course/,Beau Vista Par 3 Golf Course,0 hole,N/A,0
https://www.golf.org.au/beerwah-and-district-golf-club/,Beerwah and District Golf Club,"Golf Course ID: 41301,  28 hole",41301,28
https://www.golf.org.au/beachport-golf-club/,Beachport Golf Club,"Golf Course ID: 51001,  9 hole",51001,9
https://www.golf.org.au/beaudesert-golf-club/,Beaudesert Golf Club,"Golf Course ID: 41102,  9 hole",41102,9
https://www.golf.org.au/bayview-golf-club/,Bayview Golf Club,"Golf Course ID: 20203,  18 hole",20203,18
https://www.golf.org.au/bay-islands-golf-club/,Bay Islands Golf Club,"Golf Course ID: 41101,  18 hole",41101,18
https://www.golf.org.au/cardinia-beaconhills-golf-links/,Cardinia Beaconhills Golf Links,"Golf Course ID: 31601,  27 hole",31601,27
https://www.golf.org.au/batlow-golf-club/,Batlow Golf Club,"Golf Course ID: 22204,  9 hole",22204,9
https://www.golf.org.au/bateau-bay-golf-range/,Bateau Bay Golf Range,0 hole,N/A,0
https://www.golf.org.au/barwon-valley-golf-club/,Barwon Valley Golf Club,"Golf Course ID: 31005,  18 hole",31005,18
https://www.golf.org.au/barton-park-golf-range/,Barton Park Golf Range,0 hole,N/A,0
https://www.golf.org.au/barunah-plains-golf-club/,Barunah Plains Golf Club,"Golf Course ID: 31003,  0 hole",31003,0
https://www.golf.org.au/barraba-golf-club/,Barraba Golf Club,"Golf Course ID: 22102,  18 hole",22102,18
https://www.golf.org.au/barnbougle-lost-farm/,Barnbougle Lost Farm,"Golf Course ID: 9901,  0 hole",9901,0
https://www.golf.org.au/barnbougle-dunes/,Barnbougle Dunes,"Golf Course ID: 76369,  0 hole",76369,0
